Parameter Name,Group,Material,Lab min Value,Client min Value,Parameter Test Method,Pseudo Parameter,Discipline,Mu Value,Lab max Value,Client max Value,Unit,NABL,Material Table,Inputs,Material/Lab Name,Remark 
Insoluble Residue,BUILDING MATERIALS - CHEMICAL,White Portland Cement Chemical,0.10,0.00,IS 4032:1985,FALSE,CHEMICAL,0.01,10.00,0.00,% by mass,NABL,"lerm.parameter.master.table,750",Wt of Sample (gm),WHITE PORTLAND CEMENT CHEMICAL,
Carbon,,,0.00,0.00,,FALSE,,0.00,0.00,0.00,,,,,,
Chloride,BUILDING MATERIALS - CHEMICAL,White Portland Cement Chemical,0.01,0.00,IS 4032:1985,FALSE,CHEMICAL,0.04,5.00,0.00,% by mass,NABL,"lerm.parameter.master.table,752",Blank reading (ml),WHITE PORTLAND CEMENT CHEMICAL,
Loss on Ignition,BUILDING MATERIALS - CHEMICAL,White Portland Cement Chemical,0.10,0.00,IS 4032:1985,FALSE,CHEMICAL,0.01,10.00,0.00,% by mass,NABL,"lerm.parameter.master.table,754",Wt of crucible +Sample before ignition (gm),WHITE PORTLAND CEMENT CHEMICAL,
MgO,BUILDING MATERIALS - CHEMICAL,White Portland Cement Chemical,0.10,0.00,IS 4032:1985,FALSE,CHEMICAL,0.03,10.00,0.00,% by mass,NABL,"lerm.parameter.master.table,756",Wt of Sample (gm),WHITE PORTLAND CEMENT CHEMICAL,
SO3,BUILDING MATERIALS - CHEMICAL,White Portland Cement Chemical,0.10,0.00,IS 4032:1985,FALSE,CHEMICAL,0.01,5.00,0.00,% by mass,NABL,"lerm.parameter.master.table,1675",Wt of Sample (gm),WHITE PORTLAND CEMENT CHEMICAL,
alkali content as Na2O,BUILDING MATERIALS - CHEMICAL,White Portland Cement Chemical,0.01,0.00,IS 4032:1985,FALSE,CHEMICAL,0.04,5.00,0.00,% by mass,NABL,"lerm.parameter.master.table,757",alkali as Na₂O,WHITE PORTLAND CEMENT CHEMICAL,
alkali as Na₂O,BUILDING MATERIALS - CHEMICAL,White Portland Cement Chemical,0.01,0.00,IS 4032:1985,FALSE,CHEMICAL,0.00,5.00,0.00,% by mass,NABL,"lerm.parameter.master.table,1672",Weight of sample taken,WHITE PORTLAND CEMENT CHEMICAL,
alkalis as K2O,BUILDING MATERIALS - CHEMICAL,White Portland Cement Chemical,0.01,0.00,IS 4032:1985,FALSE,CHEMICAL,0.03,5.00,0.00,% by mass,NABL,"lerm.parameter.master.table,1673",Weight of sample taken,WHITE PORTLAND CEMENT CHEMICAL,
Al₂O₃ = R₂O₃ - Fe₂O₃,BUILDING MATERIALS - CHEMICAL,White Portland Cement Chemical,0.00,0.00,IS 4032:1985,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,NABL,"lerm.parameter.master.table,759",R₂O₃,WHITE PORTLAND CEMENT CHEMICAL,
R₂O₃,BUILDING MATERIALS - CHEMICAL,White Portland Cement Chemical,3.00,0.00,IS 4032:1985,FALSE,CHEMICAL,0.04,12.00,0.00,% by mass,NABL,"lerm.parameter.master.table,1670",Wt of Sample (gm),WHITE PORTLAND CEMENT CHEMICAL,
Fe₂O₃,BUILDING MATERIALS - CHEMICAL,White Portland Cement Chemical,0.00,0.00,IS 4032:1985,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,NABL,"lerm.parameter.master.table,1671",Wt of Sample (gm),WHITE PORTLAND CEMENT CHEMICAL,
Ratio Of Percentage,BUILDING MATERIALS - CHEMICAL,White Portland Cement Chemical,0.00,0.00,IS 4032:1985,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,NABL,"lerm.parameter.master.table,761",CaO,WHITE PORTLAND CEMENT CHEMICAL,
Sulphate as SO3,,White Portland Cement Chemical,0.00,0.00,,FALSE,,0.00,0.00,0.00,,,,,WHITE PORTLAND CEMENT CHEMICAL,
Loss on ignition,,,0.00,0.00,,FALSE,,0.00,0.00,0.00,,,,,,
Silica,BUILDING MATERIALS - CHEMICAL,WHITE PUTTY,0.00,0.00,IS 4032: 1985,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,Non NABL,"lerm.parameter.master.table,3617",,WHITE PUTTY,
CaO,BUILDING MATERIALS - CHEMICAL,WHITE PUTTY,0.00,0.00,IS 4032: 1985,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,Non NABL,"lerm.parameter.master.table,3618",,WHITE PUTTY,
carbon,,,0.00,0.00,,FALSE,,0.00,0.00,0.00,,,,,,
Al2O3,BUILDING MATERIALS - CHEMICAL,WHITE PUTTY,0.00,0.00,IS 4032: 1985,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,Non NABL,"lerm.parameter.master.table,3619",,WHITE PUTTY,
Fe2O3,BUILDING MATERIALS - CHEMICAL,WHITE PUTTY,0.00,0.00,IS 4032: 1985,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,Non NABL,"lerm.parameter.master.table,3620",,WHITE PUTTY,
Insoluble Residue,BUILDING MATERIALS - CHEMICAL,WHITE PUTTY,0.00,0.00,IS 4032:1985,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,Non NABL,"lerm.parameter.master.table,3621",,WHITE PUTTY,
Chloride,BUILDING MATERIALS - CHEMICAL,WHITE PUTTY,0.00,0.00,IS 4032:1985,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,Non NABL,"lerm.parameter.master.table,3622",,WHITE PUTTY,
Loss on Ignition at 550C,BUILDING MATERIALS - CHEMICAL,WHITE PUTTY,0.00,0.00,IS 4032:1985,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,Non NABL,"lerm.parameter.master.table,3623",,WHITE PUTTY,
MgO,BUILDING MATERIALS - CHEMICAL,WHITE PUTTY,0.00,0.00,IS 4032:1985,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,Non NABL,"lerm.parameter.master.table,3624",,WHITE PUTTY,
SO3,BUILDING MATERIALS - CHEMICAL,WHITE PUTTY,0.00,0.00,IS 4032: 1985,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,Non NABL,"lerm.parameter.master.table,3625",,WHITE PUTTY,
Sulphur,METALS & ALLOYS,WIRE MESH,0.00,0.00,,FALSE,CHEMICAL,0.00,1.00,0.00,%,NABL,"lerm.parameter.master.table,3188","volume, in ml, of potassium iodate  added",WIRE MESH,
Phosphorous,METALS & ALLOYS,WIRE MESH,0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,%,NABL,"lerm.parameter.master.table,3189",Wt of Sample taken (gm),WIRE MESH,
Sulphur,,WIRE MESH,0.00,0.00,,FALSE,,0.00,0.00,0.00,,,,,WIRE MESH,
Dry Gradation,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,WMM,0.10,0.00,IS 2720 part 26: 1987 RA 2016,FALSE,MECHANICAL,0.02,100.00,0.00,%,NABL,"lerm.parameter.master.table,3041",,WMM,
Water Absorbtion,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,WMM,0.10,0.00,IS 2386 (PART-3)1963 RA 2021,FALSE,MECHANICAL,0.00,15.00,0.00,%,NABL,"lerm.parameter.master.table,3017",,WMM,
Elongation Index,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,WMM,5.00,0.00,IS 2386 (PART-1)1963 RA 2021,FALSE,MECHANICAL,0.02,50.00,0.00,%,NABL,"lerm.parameter.master.table,3018",,WMM,
Flakiness Index,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,WMM,5.00,0.00,IS 2386 (PART-1)1963 RA 2021,FALSE,MECHANICAL,0.02,50.00,0.00,%,NABL,"lerm.parameter.master.table,3019",,WMM,
Abrasion Value,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,WMM,5.00,0.00,IS 2386 (PART-4)1963 RA 2021,FALSE,MECHANICAL,0.01,50.00,0.00,%,NABL,"lerm.parameter.master.table,3020",,WMM,
Impact Value,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,WMM,1.00,0.00,IS 2386 (PART-4)1963 RA 2021,FALSE,MECHANICAL,0.01,60.00,0.00,%,NABL,"lerm.parameter.master.table,3021",,WMM,
Plastic Limit,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,WMM,0.00,0.00,IS 2720 (PART-5)1985 RA 2020,FALSE,MECHANICAL,0.02,30.00,0.00,%,NABL,"lerm.parameter.master.table,3022",,WMM,
Liquid Limit,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,WMM,0.05,0.00,IS 2720 (PART-5)1985 RA 2020,FALSE,MECHANICAL,0.01,30.00,0.00,%,NABL,"lerm.parameter.master.table,3023",,WMM,
Plasticity Index,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,WMM,0.00,0.00,IS 2720 (PART-5)1985 RA 2020,FALSE,MECHANICAL,0.00,20.00,0.00,%,NABL,"lerm.parameter.master.table,3024",,WMM,
DETERMINATION OF WATER CONTENT-DRY DENSITY RELATION USING HEAVY COMPACTION,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,WMM,1.40,0.00,,FALSE,MECHANICAL,0.00,3.50,0.00,gm/cc,NABL,"lerm.parameter.master.table,3077",,WMM,
CBR,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,WMM,10.00,0.00,IS 2720 (PART-16)1987 RA2021,FALSE,MECHANICAL,0.02,98.00,0.00,%,Non NABL,"lerm.parameter.master.table,3042",,WMM,
Field Dry Density Of WMM By The Sand Replacement Method.,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,WMM,1.40,0.00,,FALSE,MECHANICAL,0.00,3.50,0.00,gm/cc,NABL,"lerm.parameter.master.table,3283",,WMM,
Specific Gravity,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,WMM,0.00,0.00,,FALSE,MECHANICAL,0.00,"10,000.00",0.00,,,"lerm.parameter.master.table,3306",,WMM,
WOOD SAMPLE,BUILDING MATERIALS - CHEMICAL,WOOD SAMPLE,0.00,0.00,,FALSE,MECHANICAL,0.00,0.00,0.00,,,,,WOOD SAMPLE,
DENSITY,,WOOD SAMPLE,0.00,0.00,,FALSE,MECHANICAL,0.00,0.00,0.00,,,,,WOOD SAMPLE,
MOISTURE,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,WOOD SAMPLE,0.00,0.00,,FALSE,MECHANICAL,0.00,0.00,0.00,,,,,WOOD SAMPLE,
Moisure Content,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,WOODEN FRAME,0.00,0.00,,FALSE,,0.00,0.00,0.00,,,"lerm.parameter.master.table,3115",,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
